los_id,z,dz,logN,dlogN,b,db,btur,dbtur,func,series,id
213,0.4940645307490333,1.8631272504537827e-05,13.209537848799364,0.1238130567005682,13.712042680669263,5.766646517154568,1.6509938911640971,,voigt,OVI,1
213,0.4929383703503507,2.729218075138923e-05,12.802486850072228,0.0688733422347224,36.74001716799008,4.143021237188909,1e-10,,voigt,Ly_a,2
213,0.4942706023243692,6.660748239121545e-06,15.604284752246876,1.0737946470129571,1.0007699588177568,2.4712073426685723,0.0170122869273518,,voigt,OVI,3
203,0.5148342331897029,1.4736308053334773e-06,14.41496341587717,0.0052924526115549,24.535291016361334,0.3313726754507624,0.394357777462914,,voigt,OVI,1
203,0.5148136108410656,6.866305492243165e-06,14.362822286993092,0.0074611876216673,49.97484199341204,0.6854562730389339,59.849726481668064,,voigt,Ly_a,2
203,0.5152489026432894,0.0001131524861341,13.117218140432376,0.0897968268976744,50.00080678830836,0.1999991374096002,1e-10,,voigt,OVI,3
203,0.5142724022307403,1.2337047740144246e-06,14.009959264976414,0.0091630536054772,23.111842776689787,0.4190458446439384,1e-10,,voigt,Ly_a,4
285,0.503245582804608,3.841618439825441e-05,13.485493600865324,0.3927253631766801,34.37361765059068,4.428388651238407,13.940978547207786,,voigt,OVI,1
285,0.5029667106456773,1.5533743204325844e-06,14.628970967209147,0.0119632767292053,32.067164459250556,0.5014179125593958,3.0502345038663483,,voigt,Ly_a,2
285,0.5008077462940014,1.02659585095082e-06,12.28454024659835,0.0292924469034024,2.9033995486467736,0.0075434632385888,1e-10,,voigt,OVI,3
285,0.5035332417272019,5.898772743186093,10.000000000000002,0.0627981317934681,50.00000000603439,0.1999999999999975,99.99488791827751,,voigt,OVI,4
285,0.5028951029086851,1.628559923194009e-05,13.720485854375127,0.2427636976429135,29.76241012395369,9.380797527989676,1e-10,,voigt,OVI,5
285,0.5032099947546422,2.2007383539861178e-05,13.949456942094049,0.0274341652799132,50.00000100868645,0.1999852374989354,54.97704924692941,,voigt,Ly_a,6
285,0.5024791114112929,1.828134773363696e-05,12.759526583317976,0.0469502495898811,27.71325607439913,0.0236818217308223,1e-10,,voigt,Ly_a,7
285,0.5045638766460784,0.0850895600781171,11.125292766790334,17.187220764759047,1.0000651297765528,7.311498166905015,0.0002176463938163,,voigt,Ly_a,8
285,0.500442468351458,2.79390426329954e-05,12.904101562384971,0.0723518988490501,14.198699505014687,4.685795751061236,1e-10,,voigt,Ly_a,9
268,0.4959702085318852,5.624155747404096e-06,13.918024713474804,0.0296963338677189,16.77543303854317,0.8673523820273353,1.4127969824700737,,voigt,OVI,1
268,0.496015971357982,1.5171457615544477e-05,13.922685617575771,0.0601046946829453,37.18682383953427,3.3973376595526377,26.465977633879632,,voigt,Ly_a,2
268,0.4961561596330726,2.003776753502017e-05,13.512233760979536,0.1003639536604514,24.453224248614784,5.071568771251122,1e-10,,voigt,OVI,3
268,0.4949143279094741,6.973172752458736e-06,13.032107604731689,0.0245520210019839,21.914719593434175,1.499851096267514,6.437225446832447,,voigt,Ly_a,4
268,0.496411215869793,8.910191251901712e-05,13.334929295361317,0.1939036721722759,46.04930659153368,17.16504829208826,11.328450994207412,,voigt,Ly_a,5
268,0.4937759781257616,1.4465145505639751e-05,11.32844906660695,0.0778278975731748,13.753149439240213,7.1550058566188595,1e-10,,voigt,Ly_a,6
268,0.4956793345309348,1.032596232427054e-05,13.241776773418431,0.0624096450764817,23.96175661294774,1.7545311890226436,1.216231182096194,,voigt,Ly_a,7
268,0.4965199259239531,9.310287276273512e-06,12.807247384272804,0.4321117265363752,2.4443059673548544,0.3086750010756832,1e-10,,voigt,Ly_a,8
256,0.5072484036950689,5.044631330456028e-06,13.778345661772155,0.0273263581226033,28.702140806653308,1.5735723906081298,1e-10,,voigt,OVI,1
